symbol,avgMean,avgR,avgUV,avgS,avgM1,avgM3,avgM4,avgL,pctMean,pctR,pctUV,pctS,pctM1,pctM3,pctM4,pctL
slc27a2a,0.00050034935334723,0.00161446561188247,0,0,0,0,0,0.00188797986154814,0.050034935334723,0.161446561188247,0,0,0,0,0,0.188797986154814
gabpb1,0.00618131988309887,0.00710364869228285,0,0,0,0.0136986301369863,0.0142857142857143,0.00818124606670862,0.604528849125707,0.678075556990636,0,0,0,1.36986301369863,1.42857142857143,0.755191944619257
hdc,0.000230637944554638,0.00161446561188247,0,0,0,0,0,0,0.0230637944554638,0.161446561188247,0,0,0,0,0,0
usp8,0.0286855367909664,0.0300290603810139,0,0.0121951219512195,0.0892857142857143,0,0.0428571428571429,0.026431718061674,2.59085811880304,2.97061672586374,0,1.21951219512195,7.14285714285714,0,4.28571428571429,2.51730648206419
trpm7,0.0108784622528758,0.0129157248950597,0,0.0121951219512195,0,0,0.0428571428571429,0.00818124606670862,1.08784622528758,1.29157248950597,0,1.21951219512195,0,0,4.28571428571429,0.818124606670862
gart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
larp6,0.0232975177678719,0.0329350984824023,0,0.0121951219512195,0.0535714285714286,0.0410958904109589,0,0.0232850849590938,2.29793273952774,3.19664191152728,0,1.21951219512195,5.35714285714286,4.10958904109589,0,2.20264317180617
tm2d3,0.0810288433159688,0.0519857927026154,0,0.134146341463415,0.107142857142857,0.0958904109589041,0.1,0.0780365009439899,7.79774735544583,5.0371327090733,0,13.4146341463415,8.92857142857143,9.58904109589041,10,7.61485210824418
tarsl2,0.0189966247164671,0.0129157248950597,0,0,0.0178571428571429,0.0410958904109589,0.0428571428571429,0.0182504719949654,1.89504971275562,1.25928317726832,0,0,1.78571428571429,4.10958904109589,4.28571428571429,1.82504719949654
lsm14ab,0.121906613844046,0.106231837261866,0,0.195121951219512,0.0892857142857143,0.232876712328767,0.0857142857142857,0.144115796098175,10.9690089820815,9.8159509202454,0,17.0731707317073,8.92857142857143,19.1780821917808,8.57142857142857,13.215859030837
ss18l2,0.0679418924997642,0.0358411365837908,0.1,0.121951219512195,0.0357142857142857,0.0684931506849315,0.0714285714285714,0.0421648835745752,5.86026533137252,3.45495640942848,5,10.9756097560976,3.57142857142857,6.84931506849315,7.14285714285714,4.02769037130271
